team1,team2,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,venue,toss_winner,toss_decision,winner
IU,QG,Dwayne Smith,Sharjeel Khan,Brad Haddin,Andre Russell,Khalid Latif,Misbah-ul-Haq,Asif Ali,Samuel Badree,Imran Khalid,Mohammad Irfan,Mohammad Sami,Bismillah Khan,Ahmed Shehzad,Kevin Pietersen,Kumar Sangakkara,Mohammad Nawaz,Sarfraz Ahmed,Grant Elliott,Anwar Ali,Nathan McCullum,Zulfiqar Babar,Aizaz Cheema,Dubai,IU,field,IU
IU,PZ,Dwayne Smith,Sharjeel Khan,Brad Haddin,Shane Watson,Sam Billings,Misbah-ul-Haq,Imran Khalid,Amad Butt,Saeed Ajmal,Mohammad Sami,Mohammad Irfan,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Eoin Morgan,Haris Sohail,Darren Sammy,Shahid Afridi,Iftikhar Ahmed,Chris Jordan,Hasan Ali,Junaid Khan,Dubai,IU,field,IU
LQ,QG,Jason Roy,Brendon McCullum,Fakhar Zaman,Umar Akmal,Mohammad Rizwan,Grant Elliott,Sohail Tanvir,Sunil Narine,Bilawal Bhatti,Yasir Shah,Mohammad Irfan,Asad Shafiq,Ahmed Shehzad,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mohammad Nawaz,Thisara Perera,Hasan Khan,Anwar Ali,Tymal Mills,Zulfiqar Babar,Dubai,LQ,field,QG
KK,PZ,Shahzaib Hasan,Chris Gayle,Babar Azam,Kumar Sangakkara,Shoaib Malik,Ravi Bopara,Kieron Pollard,Imad Wasim,Mohammad Amir,Sohail Khan,Abrar Ahmed,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Eoin Morgan,Haris Sohail,Darren Sammy,Shahid Afridi,Mohammad Asghar,Wahab Riaz,Chris Jordan,Hasan Ali,Dubai,PZ,field,PZ
IU,LQ,Dwayne Smith,Sam Billings,Brad Haddin,Misbah-ul-Haq,Shane Watson,Asif Ali,Shadab Khan,Mohammad Sami,Saeed Ajmal,Rumman Raees,Imran Khalid,Jason Roy,Brendon McCullum,Fakhar Zaman,Umar Akmal,Grant Elliott,Sunil Narine,Sohail Tanvir,Mohammad Rizwan,Bilawal Bhatti,Yasir Shah,Mohammad Irfan,Dubai,LQ,field,LQ
KK,QG,Shahzaib Hasan,Chris Gayle,Babar Azam,Kumar Sangakkara,Kieron Pollard,Shoaib Malik,Ravi Bopara,Imad Wasim,Sohail Khan,Mohammad Amir,Abrar Ahmed,Asad Shafiq,Ahmed Shehzad,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mohammad Nawaz,Thisara Perera,Hasan Khan,Anwar Ali,Tymal Mills,Zulfiqar Babar,Dubai,QG,field,QG
LQ,PZ,Jason Roy,Brendon McCullum,Fakhar Zaman,Umar Akmal,Grant Elliott,Mohammad Rizwan,Sunil Narine,Sohail Tanvir,Bilawal Bhatti,Yasir Shah,Mohammad Irfan,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Eoin Morgan,Shahid Afridi,Sohaib Maqsood,Darren Sammy,Chris Jordan,Wahab Riaz,Mohammad Asghar,Hasan Ali,Dubai,PZ,field,PZ
IU,QG,Dwayne Smith,Sam Billings,Brad Haddin,Misbah-ul-Haq,Shane Watson,Asif Ali,Shadab Khan,Mohammad Sami,Mohammad Irfan,Rumman Raees,Zohaib Khan,Asad Shafiq,Ahmed Shehzad,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mahmudullah,Thisara Perera,Hasan Khan,Anwar Ali,Mohammad Nawaz,Umar Gul,Sharjah,IU,field,IU
KK,LQ,Babar Azam,Chris Gayle,Kumar Sangakkara,Shoaib Malik,Kieron Pollard,Ravi Bopara,Imad Wasim,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Jason Roy,Brendon McCullum,Fakhar Zaman,Umar Akmal,Mohammad Rizwan,Grant Elliott,Sunil Narine,Sohail Tanvir,Mohammad Irfan,Yasir Shah,Bilawal Bhatti,Sharjah,KK,field,LQ
IU,KK,Dwayne Smith,Sam Billings,Brad Haddin,Misbah-ul-Haq,Shane Watson,Imran Khalid,Asif Ali,Mohammad Sami,Shadab Khan,Saeed Ajmal,Mohammad Irfan,Chris Gayle,Babar Azam,Kumar Sangakkara,Shoaib Malik,Ravi Bopara,Imad Wasim,Kieron Pollard,Kashif Bhatti,Mohammad Amir,Usama Mir,Usman Khan,Sharjah,KK,field,KK
LQ,QG,Jason Roy,Fakhar Zaman,Umar Akmal,Mohammad Rizwan,Cameron Delport,Brendon McCullum,Sunil Narine,Sohail Tanvir,Bilawal Bhatti,Mohammad Irfan,Yasir Shah,Ahmed Shehzad,Saad Nasim,Kevin Pietersen,Rilee Rossouw,Thisara Perera,Sarfraz Ahmed,Anwar Ali,Mohammad Nawaz,Mahmudullah,Hasan Khan,Zulfiqar Babar,Sharjah,QG,field,QG
IU,PZ,Dwayne Smith,Rafatullah Mohmand,Brad Haddin,Sam Billings,Misbah-ul-Haq,Shane Watson,Amad Butt,Shadab Khan,Mohammad Sami,Mohammad Irfan,Rumman Raees,Tamim Iqbal,Kamran Akmal,Mohammad Hafeez,Eoin Morgan,Sohaib Maqsood,Shakib Al Hasan,Darren Sammy,Shahid Afridi,Wahab Riaz,Hasan Ali,Junaid Khan,Sharjah,IU,field,IU
